id,target_role,known_skills,learning_speed
1,Data Scientist,"Python,SQL",0.8
2,Data Scientist,"Python,Statistics",0.6
3,ML Engineer,"Python,Mathematics",0.9
4,ML Engineer,"Deep Learning,PyTorch",0.5
5,Data Analyst,"Excel,SQL",0.7
6,Data Scientist,"Python,Pandas",0.85
7,ML Engineer,"Python,Statistics,TensorFlow",0.75
8,Data Analyst,"Excel,Tableau",0.6
9,Backend Engineer,"Python,Django",0.8
10,Backend Engineer,"Java,Spring Boot",0.7
11,Frontend Developer,"JavaScript,React",0.75
12,Frontend Developer,"HTML,CSS,JavaScript",0.65
13,Full Stack Developer,"Python,JavaScript,SQL",0.85
14,Full Stack Developer,"Node.js,React,MongoDB",0.8
15,DevOps Engineer,"Docker,Linux",0.7
16,DevOps Engineer,"AWS,Kubernetes",0.75
17,Cloud Architect,"AWS,Terraform",0.8
18,Cloud Architect,"Azure,Docker",0.7
19,Data Engineer,"Python,SQL,Spark",0.85
20,Data Engineer,"Airflow,Kafka",0.75
21,Mobile Developer,"Swift,iOS",0.7
22,Mobile Developer,"Kotlin,Android",0.65
23,Security Engineer,"Python,Linux",0.75
24,Security Engineer,"Cybersecurity,Penetration Testing",0.8
25,Product Manager,"Agile,Scrum",0.6
26,Product Manager,"Product Management,Analytics",0.65
27,UI/UX Designer,"Figma,Adobe XD",0.7
28,UI/UX Designer,"UI/UX Design,Sketch",0.75
29,Blockchain Developer,"Python,Solidity",0.8
30,Blockchain Developer,"Web3,Smart Contracts",0.85
31,Data Scientist,"Python,Scikit-learn",0.82
32,ML Engineer,"TensorFlow,Keras",0.78
33,Data Scientist,"Pandas,NumPy",0.88
34,Computer Vision Engineer,"PyTorch,OpenCV",0.92
35,NLP Engineer,"Transformers,HuggingFace",0.87
36,MLOps Engineer,"Docker,Kubeflow",0.76
37,Data Engineer,"Spark,Hadoop",0.83
38,Backend Engineer,"FastAPI,PostgreSQL",0.81
39,Frontend Developer,"Next.js,Tailwind",0.79
40,Full Stack Developer,"Django,React",0.86
41,DevOps Engineer,"Terraform,Helm",0.74
42,Cloud Architect,"GCP,Anthos",0.82
43,Data Analyst,"Power BI,SQL",0.68
44,BI Engineer,"Looker,dbt",0.72
45,Research Scientist,"Mathematics,Linear Algebra",0.91
46,Quant Developer,"Python,NumPy",0.89
